,Lat. Grad,Lat. Min.,Long. Grad,Long. Min.,,Gebiet,Punkt Nr.,Lat. Grad in Dezimal,Long. Grad in Dezimal,Typ,Frequenz,Info,Min_GT,Gefahrgut_Pflicht,Nur_Tanker,Nur_Internationale_Fahrt,Min_TDW,Tanker_Oder_Gefahrgut,Schweroel_Pflicht,Pflicht_Typ,Ladungsbedingung,Radius_NM,Dauerpflicht,Meldeinhalt,Faehre_Hinweis,LNG_Hinweis,GT_Ausnahme_Bei_Einschraenkung
,,,,,,,,,,,,,300,Egal,Nein,Nein,0,Nein,Nein,,,0,,,,,
Southern Head Shoal,50,43.45,0,26.09,,DS CALDOVREP,1,50.72417,0.43483,MAREP,13,Ch 13 Gris-Nez (nordostgehend) / Ch 11 Channel VTS (suedwestgehend),300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,"Additional report required if navigational conditions change (section Q/R). In the event of any accident within 50nm of the French coast: report IMMEDIATELY to the responsible MRCC. Report by VHF radiotelephony; when reporting to Channel VTS, AIS reporting is also possible.",A: Ship name/call sign/IMO/MMSI. B: Date/time. C/D: Position or bearing+distance. E: Course. F: Speed. G: Port of departure. I: Port of destination+ETA. O: Draught. P: Cargo (+IMO quantity/class if dangerous goods). Q/R: Defects/damage/deficiencies. T: Contact for dangerous goods information. W: Number of persons. X: Bunker quantity (>5000t bunker oil) and navigational conditions.,,,Ja
Bassurelle Lt buoy,50,32.80,0,57.80,,,2,50.54667,0.96333,MAREP,13,,300,Egal,Nein,Nein,0,Nein,Nein,,,0,,,,,
NE,51,5.34,2,32.74,,,3,51.089,2.545666667,MAREP,13,,300,Egal,Nein,Nein,0,Nein,Nein,,,0,,,,,
NW,51,22.48,1,26.68,,,4,51.37466667,1.444666667,MAREP,13,,300,Egal,Nein,Nein,0,Nein,Nein,,,0,,,,,
,,,,,,,,,,VTS,,,300,Egal,Nein,Nein,0,Nein,Nein,,,0,,,,,
Calais VTS (blau),50,57.19,1,46.49,,Calais VTS (blau),1,50.95316667,1.774833333,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,"Maintain listening watch on VHF Ch17 for the entire time within the VTS area, then additionally on Ch16 until berthing. Report any observed anomaly to Calais Port immediately. Transit of the access channel without prior authorisation is prohibited.","48h ETA with ship characteristics + dangerous goods (IMDG). 12h ETA confirmation: ETA at CA2 Lt buoy, LOA/beam/draught, port of origin, manoeuvring aids, damage/deficiencies, pilot requirement (pilot-exempt ships). 2h prior confirmation on Ch17. Ships subject to compulsory pilotage (except ferries) 1h prior: anomalies, max. draught, ETA breakwaters.",,,
,50,57.65,1,42.32,,,2,50.96083333,1.705333333,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,
,50,58.87,1,39.38,,,3,50.98116667,1.656333333,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,
,51,0.95,1,42.32,,,4,51.01583333,1.705333333,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,
